Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_viu7_rrfi,:@computed_region_n4xg_c4py
B161310,04/08/2016,05/04/2016,34500.00,false,true,2,1600 Block of 30th Avenue,94122,4,Sunset/Parkside,"(37.75652101678829, -122.48838244967642)",39,10,7,35,35,8,3,1,56,1,,,
B161193,03/31/2016,05/04/2016,10000.00,false,true,1,1400 Block of 27th Avenue,94122,4,Sunset/Parkside,"(37.760385318677855, -122.4855719466095)",39,10,7,35,35,8,3,1,56,1,,,
B160265,01/26/2016,05/03/2016,20000.00,false,false,1,0 Block of Elizabeth Street,94110,8,Mission,"(37.75287163788244, -122.42223253935033)",52,3,5,20,19,4,5,2,28859,1,,,
B161534,,05/02/2016,30000.00,false,false,5,2900 Block of Fulton Street,94118,1,Inner Richmond,"(37.773746141614836, -122.46322746533072)",5,8,4,11,11,6,2,11,54,1,,,
B160089,01/11/2016,04/29/2016,26000.00,false,false,2,1300 Block of Hampshire Street,94110,9,Mission,"(37.75050064337026, -122.40713121171851)",53,3,2,20,19,4,7,2,28859,1,,,
B161522,04/28/2016,04/28/2016,50000.00,false,false,3,0 Block of Pearl Street,94103,8,Mission,"(37.77021658795976, -122.42393258713581)",27,1,5,20,19,2,5,8,28853,2,,,
B160710,02/22/2016,04/27/2016,6000.00,false,false,1,2300 Block of Bush Street,94115,2,Pacific Heights,"(37.78665156330526, -122.43591516742529)",103,4,6,30,27,6,1,13,29490,1,,,
B160274,01/29/2016,04/26/2016,28000.00,false,true,1,900 Block of Jackson Street,94133,3,Chinatown,"(37.79548765727811, -122.41047935603308)",16,6,3,6,4,1,10,3,28857,2,,,
B160782,,04/26/2016,30000.00,false,false,1,0 Block of Salmon Street,94133,3,Nob Hill,"(37.796539745376066, -122.41268095489944)",107,6,3,21,21,1,10,3,308,1,,,
B160711,02/23/2016,04/26/2016,19500.00,false,false,2,1000 Block of Dolores Street,94110,8,Mission,"(37.752643924449465, -122.4250877782395)",52,3,5,20,19,4,5,2,28859,1,,,
B160892,03/07/2016,04/25/2016,8000.00,false,false,1,800 Block of Rhode Island Street,94107,10,Potrero Hill,"(37.7590433306866, -122.40194918584501)",54,2,9,26,29,3,8,10,28856,1,,,
B161419,,04/25/2016,50000.00,false,true,2,0 Block of Cumberland Street,94110,8,Mission,"(37.759042049984146, -122.4247229313483)",37,3,5,20,19,4,5,2,28859,1,,,
B161410,,04/22/2016,30000.00,false,false,1,100 Block of Haight Street,94102,5,Hayes Valley,"(37.772900089786006, -122.42464616916713)",26,4,11,9,10,9,11,7,28852,1,,,
B161409,,04/22/2016,27500.00,false,true,1,0 Block of Kissling Street,94103,6,South of Market,"(37.77284602022544, -122.41465513471734)",32,1,10,34,34,2,9,8,28853,2,,,1
B160658,02/19/2016,04/22/2016,28000.00,false,false,4,300 Block of Cornwall Street,94118,1,Inner Richmond,"(37.78482651470309, -122.46294556994428)",5,8,4,11,11,6,2,11,54,1,,,
